InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
585224,00030,Product_00030,115,2023-10-21 03:00:00,27.45,17739.0,United Kingdom
522674,00028,Product_00028,92,2022-02-05 20:00:00,44.2,16677.0,United Kingdom
515911,00021,Product_00021,26,2022-08-13 14:00:00,39.35,,United Kingdom
526985,00017,Product_00017,49,2023-05-14 12:00:00,24.53,18803.0,United Kingdom
594028,00007,Product_00007,81,2023-04-16 04:00:00,23.02,11964.0,United Kingdom
540252,00044,Product_00044,12,2022-09-19 01:00:00,47.92,16281.0,United Kingdom
544024,00030,Product_00030,67,2023-12-04 02:00:00,27.07,18387.0,United Kingdom
571158,00049,Product_00049,16,2022-07-04 10:00:00,13.64,18873.0,United Kingdom
556315,00044,Product_00044,23,2023-08-24 23:00:00,47.92,12518.0,United Kingdom
571208,00040,Product_00040,53,2023-04-19 11:00:00,21.51,15842.0,United Kingdom
511524,00042,Product_00042,106,2023-10-30 15:00:00,16.0,16487.0,United Kingdom
511804,00038,Product_00038,113,2022-12-13 18:00:00,29.15,11987.0,United Kingdom
532600,00013,Product_00013,18,2022-03-12 05:00:00,38.9,14088.0,United Kingdom
560899,00003,Product_00003,161,2022-02-02 01:00:00,20.83,19242.0,United Kingdom
534110,00036,Product_00036,38,2022-04-12 09:00:00,12.24,11902.0,United Kingdom
599757,00019,Product_00019,66,2022-08-10 07:00:00,40.64,14080.0,United Kingdom
527595,00042,Product_00042,34,2022-07-30 11:00:00,22.76,13159.0,United Kingdom
587455,00010,Product_00010,86,2022-09-25 12:00:00,7.42,17684.0,United Kingdom
523245,00031,Product_00031,92,2022-09-24 12:00:00,45.4,15272.0,United Kingdom
567791,00003,Product_00003,96,2022-12-28 02:00:00,30.03,12751.0,United Kingdom
566657,00005,Product_00005,40,2022-04-25 11:00:00,9.47,17582.0,United Kingdom
517432,00035,Product_00035,76,2022-01-08 21:00:00,23.95,13166.0,United Kingdom
518870,00009,Product_00009,64,2022-05-06 05:00:00,44.05,15007.0,United Kingdom
587175,00013,Product_00013,79,2022-03-21 03:00:00,38.9,17236.0,United Kingdom
557240,00043,Product_00043,64,2022-02-22 19:00:00,44.07,10489.0,United Kingdom
519565,00049,Product_00049,45,2023-04-20 18:00:00,13.64,18819.0,United Kingdom
587089,00008,Product_00008,66,2022-05-29 04:00:00,38.79,13401.0,United Kingdom
551375,00031,Product_00031,78,2022-06-12 02:00:00,45.4,12005.0,United Kingdom
517647,00001,Product_00001,51,2023-01-04 06:00:00,45.54,17015.0,United Kingdom
544411,00045,Product_00045,73,2023-08-28 06:00:00,31.71,15698.0,United Kingdom
563399,00012,Product_00012,58,2023-03-19 19:00:00,8.07,17037.0,United Kingdom
581502,00013,Product_00013,92,2023-01-02 08:00:00,38.9,19241.0,United Kingdom
548786,00038,Product_00038,41,2023-03-16 19:00:00,29.15,19750.0,United Kingdom
525358,00006,Product_00006,92,2023-03-04 05:00:00,36.56,13539.0,United Kingdom
560951,00043,Product_00043,101,2022-12-18 09:00:00,44.07,18314.0,United Kingdom
587768,00008,Product_00008,35,2023-03-03 09:00:00,38.79,13143.0,United Kingdom
551732,00008,Product_00008,38,2023-04-05 00:00:00,30.02,14577.0,United Kingdom
575106,00025,Product_00025,66,2022-04-19 20:00:00,24.81,13038.0,United Kingdom
548947,00047,Product_00047,55,2023-10-20 19:00:00,43.42,11674.0,United Kingdom
529236,00022,Product_00022,45,2023-12-16 23:00:00,30.62,10467.0,United Kingdom
526549,00010,Product_00010,59,2023-05-24 14:00:00,5.4,13526.0,United Kingdom
586787,00050,Product_00050,77,2022-12-09 18:00:00,11.97,16689.0,United Kingdom
579939,00002,Product_00002,84,2023-08-29 21:00:00,34.06,17672.0,United Kingdom
556838,00037,Product_00037,177,2022-05-12 08:00:00,5.64,17503.0,United Kingdom
545869,00014,Product_00014,38,2022-03-08 01:00:00,8.11,19981.0,United Kingdom
512966,00041,Product_00041,74,2022-06-14 07:00:00,32.3,15043.0,United Kingdom
580180,00021,Product_00021,91,2022-02-12 13:00:00,39.35,19862.0,United Kingdom
536375,00003,Product_00003,34,2023-05-01 13:00:00,30.03,13958.0,United Kingdom
575528,00015,Product_00015,55,2023-03-27 05:00:00,43.78,16470.0,United Kingdom
566282,00050,Product_00050,97,2023-07-14 01:00:00,11.97,11660.0,United Kingdom
596146,00043,Product_00043,126,2022-11-29 21:00:00,30.38,11098.0,United Kingdom
535994,00004,Product_00004,59,2023-02-08 20:00:00,47.51,14451.0,United Kingdom
561972,00032,Product_00032,47,2023-06-26 06:00:00,19.75,19048.0,United Kingdom
563653,00028,Product_00028,84,2022-10-14 09:00:00,44.2,19588.0,United Kingdom
546818,00030,Product_00030,78,2022-08-25 11:00:00,38.2,19395.0,United Kingdom
541424,00041,Product_00041,55,2022-01-07 17:00:00,32.3,12481.0,United Kingdom
520719,00041,Product_00041,40,2022-06-29 01:00:00,32.3,18946.0,United Kingdom
519784,00023,Product_00023,79,2022-02-11 11:00:00,47.81,14883.0,United Kingdom
516565,00041,Product_00041,192,2023-04-26 14:00:00,20.6,14976.0,United Kingdom
558297,00026,Product_00026,29,2022-11-14 21:00:00,38.42,16090.0,United Kingdom
582419,00035,Product_00035,65,2022-02-12 08:00:00,23.95,17312.0,United Kingdom
523992,00049,Product_00049,97,2022-12-22 09:00:00,13.64,13330.0,United Kingdom
522935,00028,Product_00028,41,2023-12-21 06:00:00,44.2,18742.0,United Kingdom
572616,00025,Product_00025,36,2023-01-22 04:00:00,24.81,12646.0,United Kingdom
536758,00039,Product_00039,19,2023-05-23 17:00:00,32.12,15045.0,United Kingdom
571610,00019,Product_00019,42,2022-09-21 19:00:00,40.64,15772.0,United Kingdom
511816,00036,Product_00036,37,2022-12-24 03:00:00,12.24,15201.0,United Kingdom
531100,00043,Product_00043,82,2022-10-28 08:00:00,44.07,10727.0,United Kingdom
578188,00004,Product_00004,130,2022-08-08 20:00:00,37.37,19558.0,United Kingdom
535533,00012,Product_00012,122,2023-11-17 08:00:00,8.07,13511.0,United Kingdom
546184,00001,Product_00001,94,2023-11-07 16:00:00,45.54,11757.0,United Kingdom
589828,00041,Product_00041,104,2022-11-30 14:00:00,32.3,18448.0,United Kingdom
590854,00013,Product_00013,58,2022-04-18 00:00:00,38.9,13842.0,United Kingdom
574417,00011,Product_00011,74,2022-03-26 11:00:00,47.1,19152.0,United Kingdom
574484,00028,Product_00028,88,2022-04-23 07:00:00,44.2,17773.0,United Kingdom
539117,00020,Product_00020,34,2023-10-05 14:00:00,40.36,18478.0,United Kingdom
581468,00036,Product_00036,59,2022-08-08 02:00:00,12.24,10178.0,United Kingdom
528716,00028,Product_00028,53,2022-10-08 16:00:00,44.2,13989.0,United Kingdom
590836,00003,Product_00003,93,2022-01-17 07:00:00,30.03,14356.0,United Kingdom
582119,00003,Product_00003,76,2023-08-06 18:00:00,18.86,17077.0,United Kingdom
518484,00023,Product_00023,57,2023-06-12 18:00:00,47.81,11161.0,United Kingdom
527777,00027,Product_00027,45,2022-09-03 12:00:00,49.91,15531.0,United Kingdom
558480,00003,Product_00003,14,2022-05-29 09:00:00,30.03,17613.0,United Kingdom
542438,00019,Product_00019,67,2022-09-15 16:00:00,40.64,15605.0,United Kingdom
575711,00027,Product_00027,129,2022-12-16 16:00:00,49.91,17070.0,United Kingdom
510208,00022,Product_00022,46,2023-06-29 11:00:00,18.96,10247.0,United Kingdom
528130,00015,Product_00015,12,2023-09-29 01:00:00,43.78,12561.0,United Kingdom
581322,00030,Product_00030,14,2022-04-13 06:00:00,38.2,16320.0,United Kingdom
512663,00003,Product_00003,98,2023-05-09 05:00:00,30.03,12315.0,United Kingdom
576540,00024,Product_00024,13,2023-08-08 23:00:00,42.42,19501.0,United Kingdom
588607,00031,Product_00031,31,2023-04-02 21:00:00,45.4,19113.0,United Kingdom
550752,00001,Product_00001,40,2023-02-11 18:00:00,45.54,17304.0,United Kingdom
568477,00026,Product_00026,68,2022-07-30 16:00:00,38.42,11502.0,United Kingdom
596527,00048,Product_00048,80,2023-09-15 20:00:00,25.65,18992.0,United Kingdom
559206,00005,Product_00005,97,2022-12-04 22:00:00,9.47,15866.0,United Kingdom
588043,00006,Product_00006,103,2023-07-28 21:00:00,23.8,17147.0,United Kingdom
570133,00044,Product_00044,251,2023-12-27 12:00:00,33.51,14384.0,United Kingdom
560862,00025,Product_00025,87,2022-01-21 22:00:00,24.81,14179.0,United Kingdom
584206,00028,Product_00028,94,2022-10-15 22:00:00,44.2,15390.0,United Kingdom
531108,00050,Product_00050,42,2023-06-13 13:00:00,11.97,19602.0,United Kingdom
517218,00019,Product_00019,61,2022-01-09 14:00:00,40.64,18128.0,United Kingdom
536231,00030,Product_00030,12,2023-10-26 22:00:00,38.2,16122.0,United Kingdom
523077,00018,Product_00018,122,2023-12-20 15:00:00,46.97,18587.0,United Kingdom
531044,00011,Product_00011,39,2022-12-31 19:00:00,47.1,10791.0,United Kingdom
534104,00013,Product_00013,96,2023-05-31 23:00:00,27.7,13502.0,United Kingdom
519401,00027,Product_00027,20,2023-09-10 12:00:00,49.91,18106.0,United Kingdom
583710,00013,Product_00013,125,2022-11-12 14:00:00,38.9,11702.0,United Kingdom
566305,00014,Product_00014,86,2022-09-23 14:00:00,8.11,10028.0,United Kingdom
583057,00028,Product_00028,125,2022-03-11 22:00:00,26.84,14820.0,United Kingdom
586054,00024,Product_00024,25,2022-02-14 03:00:00,42.42,15407.0,United Kingdom
515697,00008,Product_00008,65,2023-11-06 22:00:00,38.79,13582.0,United Kingdom
535519,00011,Product_00011,66,2023-02-18 02:00:00,47.1,15085.0,United Kingdom
529499,00043,Product_00043,78,2023-03-27 17:00:00,44.07,15657.0,United Kingdom
524606,00043,Product_00043,54,2023-04-01 01:00:00,44.07,11982.0,United Kingdom
544546,00020,Product_00020,88,2023-02-12 21:00:00,40.36,14269.0,United Kingdom
534562,00045,Product_00045,48,2023-11-11 16:00:00,31.71,17904.0,United Kingdom
561892,00042,Product_00042,73,2023-04-14 20:00:00,22.76,16745.0,United Kingdom
564332,00030,Product_00030,10,2022-04-23 05:00:00,38.2,19362.0,United Kingdom
566436,00009,Product_00009,88,2023-08-04 11:00:00,44.05,13974.0,United Kingdom
558802,00027,Product_00027,36,2022-06-01 03:00:00,49.91,18095.0,United Kingdom
539623,00014,Product_00014,73,2023-11-05 05:00:00,5.91,18421.0,United Kingdom
569924,00017,Product_00017,38,2023-02-28 21:00:00,24.53,16824.0,United Kingdom
589284,00039,Product_00039,98,2023-03-03 06:00:00,32.12,18550.0,United Kingdom
563193,00037,Product_00037,22,2023-10-17 11:00:00,9.35,15410.0,United Kingdom
592417,00048,Product_00048,168,2023-04-24 22:00:00,27.33,12168.0,United Kingdom
538832,00008,Product_00008,18,2022-02-24 10:00:00,38.79,10663.0,United Kingdom
527276,00007,Product_00007,62,2022-10-10 08:00:00,23.02,19440.0,United Kingdom
543202,00002,Product_00002,37,2023-01-30 18:00:00,49.64,11271.0,United Kingdom
511767,00044,Product_00044,82,2022-11-10 14:00:00,47.92,10804.0,United Kingdom
545079,00009,Product_00009,91,2022-08-19 10:00:00,44.05,18720.0,United Kingdom
544360,00030,Product_00030,65,2022-06-06 04:00:00,38.2,10077.0,United Kingdom
597228,00027,Product_00027,58,2023-07-19 09:00:00,35.64,16448.0,United Kingdom
544855,00044,Product_00044,94,2022-01-28 15:00:00,47.92,19329.0,United Kingdom
545596,00006,Product_00006,43,2022-03-25 06:00:00,36.56,12312.0,United Kingdom
599797,00003,Product_00003,46,2022-11-30 02:00:00,30.03,11660.0,United Kingdom
575816,00038,Product_00038,48,2022-05-18 16:00:00,29.15,12515.0,United Kingdom
595006,00018,Product_00018,41,2023-07-30 08:00:00,46.97,10545.0,United Kingdom
565085,00002,Product_00002,49,2022-10-02 09:00:00,49.64,16761.0,United Kingdom
591142,00014,Product_00014,27,2023-05-01 09:00:00,8.11,15506.0,United Kingdom
554467,00011,Product_00011,55,2022-03-10 04:00:00,47.1,18399.0,United Kingdom
582671,00035,Product_00035,88,2023-12-13 18:00:00,23.95,12830.0,United Kingdom
574101,00019,Product_00019,66,2022-07-17 09:00:00,40.64,14094.0,United Kingdom
522076,00049,Product_00049,76,2023-08-30 11:00:00,13.64,13510.0,United Kingdom
554446,00012,Product_00012,64,2023-08-02 05:00:00,6.1,17934.0,United Kingdom
552732,00003,Product_00003,39,2022-02-05 14:00:00,30.03,15634.0,United Kingdom
517048,00011,Product_00011,46,2022-09-01 23:00:00,47.1,15657.0,United Kingdom
539329,00029,Product_00029,114,2022-11-05 00:00:00,5.06,19396.0,United Kingdom
582235,00018,Product_00018,12,2023-08-05 05:00:00,46.97,15355.0,United Kingdom
598759,00024,Product_00024,63,2022-08-30 07:00:00,42.42,18694.0,United Kingdom
525147,00044,Product_00044,217,2022-07-25 11:00:00,28.98,19232.0,United Kingdom
596977,00039,Product_00039,38,2022-01-09 10:00:00,32.12,12831.0,United Kingdom
547516,00042,Product_00042,69,2023-04-22 23:00:00,22.76,10181.0,United Kingdom
593365,00002,Product_00002,42,2023-06-13 16:00:00,49.64,17139.0,United Kingdom
555839,00034,Product_00034,45,2022-07-02 21:00:00,23.06,18747.0,United Kingdom
569478,00007,Product_00007,109,2022-04-07 23:00:00,15.78,15720.0,United Kingdom
560817,00031,Product_00031,19,2022-11-30 12:00:00,45.4,13990.0,United Kingdom
576495,00046,Product_00046,105,2022-11-21 01:00:00,42.9,11559.0,United Kingdom
580527,00029,Product_00029,41,2022-01-09 05:00:00,5.06,11950.0,United Kingdom
585636,00023,Product_00023,77,2022-03-22 10:00:00,47.81,18148.0,United Kingdom
593912,00028,Product_00028,81,2023-05-06 14:00:00,44.2,13231.0,United Kingdom
535797,00048,Product_00048,49,2023-09-21 15:00:00,37.12,15328.0,United Kingdom
560408,00010,Product_00010,15,2023-01-25 03:00:00,7.42,17883.0,United Kingdom
584210,00009,Product_00009,35,2023-04-28 21:00:00,44.05,19431.0,United Kingdom
586317,00003,Product_00003,17,2023-10-17 12:00:00,30.03,18995.0,United Kingdom
523552,00042,Product_00042,90,2023-12-12 03:00:00,22.76,13124.0,United Kingdom
545024,00024,Product_00024,196,2022-04-28 03:00:00,26.53,10434.0,United Kingdom
550912,00015,Product_00015,50,2023-08-17 11:00:00,34.66,15816.0,United Kingdom
551719,00037,Product_00037,20,2022-09-30 18:00:00,9.35,11646.0,United Kingdom
511806,00006,Product_00006,49,2022-03-24 18:00:00,36.56,10875.0,United Kingdom
570915,00039,Product_00039,60,2022-12-14 10:00:00,32.12,17761.0,United Kingdom
540207,00010,Product_00010,97,2023-04-21 11:00:00,7.42,11340.0,United Kingdom
571349,00006,Product_00006,14,2022-05-02 07:00:00,36.56,18208.0,United Kingdom
568070,00026,Product_00026,73,2022-03-14 06:00:00,38.42,10378.0,United Kingdom
590255,00020,Product_00020,107,2022-12-28 16:00:00,40.36,13852.0,United Kingdom
571789,00022,Product_00022,33,2022-08-28 23:00:00,30.62,15195.0,United Kingdom
523972,00042,Product_00042,90,2022-04-10 09:00:00,22.76,19916.0,United Kingdom
570929,00030,Product_00030,23,2023-04-08 23:00:00,38.2,16749.0,United Kingdom
524661,00036,Product_00036,19,2022-07-17 08:00:00,12.24,11700.0,United Kingdom
569766,00007,Product_00007,75,2022-03-17 02:00:00,23.02,10645.0,United Kingdom
577182,00004,Product_00004,65,2022-12-06 19:00:00,30.74,13141.0,United Kingdom
543610,00021,Product_00021,58,2022-12-05 08:00:00,39.35,13414.0,United Kingdom
527811,00037,Product_00037,68,2022-10-03 16:00:00,9.35,13854.0,United Kingdom
577910,00042,Product_00042,31,2023-08-18 01:00:00,22.76,15609.0,United Kingdom
575815,00033,Product_00033,76,2023-08-27 14:00:00,48.99,15174.0,United Kingdom
578613,00011,Product_00011,148,2023-11-25 14:00:00,35.03,10506.0,United Kingdom
570151,00031,Product_00031,58,2023-08-10 11:00:00,45.4,15149.0,United Kingdom
596054,00013,Product_00013,54,2023-01-19 16:00:00,38.9,10969.0,United Kingdom
546367,00018,Product_00018,29,2023-11-14 03:00:00,46.97,13959.0,United Kingdom
544574,00002,Product_00002,68,2023-05-09 03:00:00,49.64,12056.0,United Kingdom
521467,00025,Product_00025,32,2023-07-03 16:00:00,18.0,11485.0,United Kingdom
524048,00014,Product_00014,28,2022-03-27 09:00:00,8.11,18530.0,United Kingdom
514528,00031,Product_00031,16,2022-08-14 23:00:00,45.4,18064.0,United Kingdom
577757,00034,Product_00034,42,2023-08-31 21:00:00,23.06,19939.0,United Kingdom
564920,00003,Product_00003,72,2022-10-26 06:00:00,30.03,12642.0,United Kingdom
524253,00006,Product_00006,51,2023-03-04 00:00:00,36.56,17962.0,United Kingdom
572389,00050,Product_00050,41,2022-11-05 08:00:00,11.97,13615.0,United Kingdom
522958,00025,Product_00025,95,2023-02-16 10:00:00,24.81,11544.0,United Kingdom
543874,00034,Product_00034,42,2023-09-24 07:00:00,23.06,14708.0,United Kingdom
